region_number,success_count,best_episode_reward,mastered,active
1,13,25927.035156,1,0
2,53,9951.735352,1,0
3,19,2316.832031,1,0
4,21,25956.035156,1,0
5,49,19894.304688,1,0
6,34,27959.164062,1,0
7,13,3430.478271,1,0
8,39,20192.296875,1,0
9,18,27026.431641,1,0
10,19,28370.416016,1,0
11,38,31916.984375,1,0
12,38,24086.472656,1,0
13,24,29780.833984,1,0
14,40,30620.716797,1,0
15,49,24629.744141,1,0
16,21,32080.429688,1,0
17,24,33478.832031,1,0
18,28,34410.285156,1,0
19,28,29284.208984,1,0
20,28,28603.382812,1,0
21,15,29637.500000,1,0
22,28,31759.232422,1,0
23,28,32148.740234,1,0
24,25,34700.355469,1,0
25,20,33084.878906,1,0
26,22,35369.117188,1,0
27,1150,41094.941406,1,1
